WETH_price,gas_price_gwei,num_new_barks,num_sales_taken,incentive_amount,num_unsafe_vaults,auction_debt,avg_time_to_liquidation
3423.99,77.68416570703828,0,0,0.0,0,0.0,
3410.0,79.9537901580277,0,0,0.0,1,0.0,
3422.48,81.84025052917166,0,0,0.0,0,0.0,
3392.76,86.2484122406286,0,0,0.0,2,0.0,
3373.29,86.6671298058045,2,0,3010.56972919099,0,281056.972919099,1.0
3356.02,87.25602683675035,0,0,0.0,0,281056.972919099,1.0
3330.0,88.29404221854573,0,0,0.0,1,281056.972919099,1.0
3273.89,98.16566246901618,1,0,391.01275570122624,2,310158.2484892216,1.0
3256.96,96.05989773932254,2,0,2905.4164117849095,1,580699.8896677126,1.0
3237.18,96.7031428089366,1,0,2541.0050670389815,0,824800.3963716107,1.0
3182.04,107.51452783545857,0,0,0.0,4,824800.3963716107,1.0
3190.37,114.04694481637488,4,0,1308.325570072577,0,915632.9533788684,1.0
3193.4,119.0151861322317,0,0,0.0,0,915632.9533788684,1.0
3159.6,120.04348531514978,0,0,0.0,3,915632.9533788684,1.0
3173.73,128.80172443924664,3,0,1260.173825353083,0,1011650.3359141768,1.0
3179.07,116.26734246597238,0,0,0.0,0,1011650.3359141768,1.0
3174.53,116.6167372523883,0,0,0.0,0,1011650.3359141768,1.0
3107.28,103.16889796080186,0,0,0.0,6,1011650.3359141768,1.0
3119.01,114.44419871282876,5,0,3818.414629772265,0,1343491.7988914032,1.0
3100.62,118.65677427988962,0,0,0.0,1,1343491.7988914032,1.0
3149.46,134.11870290778785,0,3,0.0,0,1255856.3941269778,1.0
3138.46,142.15408772322897,0,1,0.0,0,1192597.0830796303,1.0
3107.81,137.4746226093525,0,1,0.0,1,1191834.1193096996,1.0
3096.08,134.83953898114558,1,0,446.44664182517823,1,1226478.7834922173,1.0
3080.59,123.6424782680676,1,1,681.73269889535,0,1251078.4882131359,1.0
3011.83,152.12527973856913,0,1,0.0,4,1250881.4848826036,1.0
2937.49,219.0400772954,4,0,5466.405140268913,3,1757521.9989094948,1.0
2949.55,243.77132116777042,3,0,883.7735890869297,0,1815899.357818188,1.0
2915.4,383.6026538535364,0,0,0.0,0,1815899.357818188,1.0
2921.71,308.5022146335034,0,1,0.0,0,1765389.775455863,1.0
2980.23,350.6400842801495,0,3,0.0,0,1762556.4734002843,1.0
2982.03,352.8199953460572,0,0,0.0,0,1762556.4734002843,1.0
3023.73,286.2593440937721,0,0,0.0,0,1762556.4734002843,1.0
