WETH_price,gas_price_gwei,num_new_barks,num_sales_taken,incentive_amount,num_unsafe_vaults,auction_debt,avg_time_to_liquidation
3423.99,77.68416570703828,0,0,0.0,0,0.0,
3410.0,79.9537901580277,0,0,0.0,0,0.0,
3422.48,81.84025052917166,0,0,0.0,0,0.0,
3392.76,86.2484122406286,0,0,0.0,0,0.0,
3373.29,86.6671298058045,0,0,0.0,0,0.0,
3356.02,87.25602683675035,0,0,0.0,0,0.0,
3330.0,88.29404221854573,0,0,0.0,1,0.0,
3273.89,98.16566246901618,1,0,352.4048341852822,0,252404.83418528223,1.0
3256.96,96.05989773932254,0,0,0.0,0,252404.83418528223,1.0
3237.18,96.7031428089366,0,0,0.0,0,252404.83418528223,1.0
3182.04,107.51452783545857,0,0,0.0,2,252404.83418528223,1.0
3190.37,114.04694481637488,2,0,237.7929025392574,0,290197.7367245396,1.0
3193.4,119.0151861322317,0,0,0.0,0,290197.7367245396,1.0
3159.6,120.04348531514978,0,0,0.0,0,290197.7367245396,1.0
3173.73,128.80172443924664,0,0,0.0,0,290197.7367245396,1.0
3179.07,116.26734246597238,0,0,0.0,0,290197.7367245396,1.0
3174.53,116.6167372523883,0,0,0.0,0,290197.7367245396,1.0
3107.28,103.16889796080186,0,0,0.0,3,290197.7367245396,1.0
3119.01,114.44419871282876,2,1,248.50667239022445,0,312073.13225477334,1.0
3100.62,118.65677427988962,0,2,0.0,1,257106.08979982624,1.0
3149.46,134.11870290778785,0,2,0.0,0,221760.77798448212,1.0
3138.46,142.15408772322897,0,1,0.0,0,221187.8941476355,1.0
3107.81,137.4746226093525,0,0,0.0,1,221187.8941476355,1.0
3096.08,134.83953898114558,0,0,0.0,1,221187.8941476355,1.0
3080.59,123.6424782680676,1,1,120.48503149516037,0,199368.53719025786,1.1666666666666667
3011.83,152.12527973856913,0,1,0.0,3,199075.82071890176,1.1666666666666667
2937.49,219.0400772954,2,0,654.143540825174,4,653219.3615440758,1.125
2949.55,243.77132116777042,0,0,0.0,4,653219.3615440758,1.125
2915.4,383.6026538535364,0,0,0.0,4,653219.3615440758,1.125
2921.71,308.5022146335034,0,0,0.0,4,653219.3615440758,1.125
2980.23,350.6400842801495,0,1,0.0,2,602626.323118338,1.125
2982.03,352.8199953460572,0,0,0.0,2,602626.323118338,1.125
3023.73,286.2593440937721,0,0,0.0,0,602626.323118338,1.125
2950.35,266.5346285621444,0,0,0.0,4,602626.323118338,1.125
2918.86,270.30428058638563,0,0,0.0,4,602626.323118338,1.125
2928.74,244.75362880951667,0,0,0.0,4,602626.323118338,1.125
2995.49,234.38320391700182,0,0,0.0,2,602626.323118338,1.125
2999.09,221.9085720265641,0,0,0.0,2,602626.323118338,1.125
3011.99,198.0981980546613,0,0,0.0,1,602626.323118338,1.125
2960.77,180.8457922915477,0,0,0.0,4,602626.323118338,1.125
2957.41,172.152023488998,1,0,157.2968794397108,3,659923.2025580489,1.1111111111111112
2944.76,158.75521488995065,0,0,0.0,3,659923.2025580489,1.1111111111111112
2917.49,159.04182251948356,0,2,0.0,3,659709.8183076772,1.1111111111111112
2937.02,178.42420359523717,0,0,0.0,3,659709.8183076772,1.1111111111111112
2948.05,189.1477594798155,0,0,0.0,3,659709.8183076772,1.1111111111111112
2954.64,155.419461410817,0,0,141.69817586852184,3,659709.8183076772,1.1111111111111112
2979.01,151.7501413295527,0,0,0.0,1,659709.8183076772,1.1111111111111112
2990.92,170.83861040424745,0,0,0.0,1,659709.8183076772,1.1111111111111112
2958.31,137.4429846981385,1,0,127.34966196348552,2,687059.4802711627,2.5
2937.22,139.37535234493174,2,0,254.04653995285915,0,741106.0202240219,2.25
2951.03,122.91361286750993,0,0,0.0,0,741106.0202240219,2.25
2967.33,106.34631689455023,0,0,0.0,0,741106.0202240219,2.25
2987.91,100.75215533180749,0,0,0.0,0,741106.0202240219,2.25
2978.91,97.92866064391426,0,0,0.0,0,741106.0202240219,2.25
3002.17,102.1486981378381,0,0,0.0,0,741106.0202240219,2.25
2966.62,98.4712403297381,0,0,0.0,0,741106.0202240219,2.25
2955.28,94.6115465222096,0,0,0.0,0,741106.0202240219,2.25
2949.5,77.34221757400023,0,0,0.0,0,741106.0202240219,2.25
2937.54,85.22435103668869,0,0,0.0,0,741106.0202240219,2.25
2976.91,75.7568016824938,0,0,0.0,0,741106.0202240219,2.25
2934.32,84.19876858307256,0,0,0.0,0,741106.0202240219,2.25
2924.53,83.36988437055467,0,0,0.0,0,741106.0202240219,2.25
2910.0,80.05763347702975,0,0,0.0,0,741106.0202240219,2.25
2853.52,81.8061342266208,0,0,0.0,1,741106.0202240219,2.25
2824.02,95.7250620474159,1,0,112.34166081923313,1,753447.6810432549,2.1538461538461537
2852.91,97.44838949776047,0,0,0.0,0,753447.6810432549,2.1538461538461537
2801.07,129.87238557615515,0,0,0.0,2,753447.6810432549,2.1538461538461537
2713.87,156.48881722534196,0,0,0.0,7,753447.6810432549,2.1538461538461537
2615.68,329.47090694048694,1,0,311.81662482818933,10,965264.3058714443,2.0714285714285716
2700.28,637.0261195707874,0,0,0.0,6,965264.3058714443,2.0714285714285716
2635.3,632.2283951014543,0,0,0.0,10,965264.3058714443,2.0714285714285716
2722.79,451.75462052582884,0,0,0.0,6,965264.3058714443,2.0714285714285716
2746.23,460.1011866244739,0,0,0.0,4,965264.3058714443,2.0714285714285716
2685.62,368.0041091497445,0,0,0.0,7,965264.3058714443,2.0714285714285716
2638.91,365.45431790961237,0,0,0.0,10,965264.3058714443,2.0714285714285716
