WETH_price,gas_price_gwei,num_new_barks,num_sales_taken,incentive_amount,num_unsafe_vaults,auction_debt,avg_time_to_liquidation
3423.99,77.68416570703828,0,0,0.0,0,0.0,
3410.0,79.9537901580277,0,0,0.0,0,0.0,
3422.48,81.84025052917166,0,0,0.0,0,0.0,
3392.76,86.2484122406286,0,0,0.0,0,0.0,
3373.29,86.6671298058045,0,0,0.0,1,0.0,
3356.02,87.25602683675035,1,0,1019.4783165575885,0,19478.31655758858,1.0
3330.0,88.29404221854573,0,0,0.0,0,19478.31655758858,1.0
3273.89,98.16566246901618,0,0,0.0,1,19478.31655758858,1.0
3256.96,96.05989773932254,1,0,1029.865333118761,1,49343.64967634972,1.0
3237.18,96.7031428089366,1,0,1021.8357229264029,1,71179.37260275264,1.0
3182.04,107.51452783545857,1,0,1033.9621039742367,2,105141.47657698927,1.0
3190.37,114.04694481637488,2,0,2053.082234222187,0,158223.71079917604,1.0
3193.4,119.0151861322317,0,0,0.0,0,158223.71079917604,1.0
3159.6,120.04348531514978,0,0,0.0,1,158223.71079917604,1.0
3173.73,128.80172443924664,1,0,1238.2026148046236,0,396426.3256037997,1.0
3179.07,116.26734246597238,0,0,0.0,0,396426.3256037997,1.0
3174.53,116.6167372523883,0,0,0.0,0,396426.3256037997,1.0
3107.28,103.16889796080186,0,0,0.0,1,396426.3256037997,1.0
3119.01,114.44419871282876,0,0,0.0,0,396426.3256037997,1.0
3100.62,118.65677427988962,0,0,0.0,1,396426.3256037997,1.0
3149.46,134.11870290778785,1,0,1233.890136404262,0,630316.4620080617,1.0
3138.46,142.15408772322897,0,0,0.0,0,630316.4620080617,1.0
3107.81,137.4746226093525,0,0,0.0,0,630316.4620080617,1.0
3096.08,134.83953898114558,0,1,0.0,0,610838.1454504732,1.0
3080.59,123.6424782680676,0,0,0.0,1,610838.1454504732,1.0
3011.83,152.12527973856913,1,0,1039.62933724677,2,650467.4826972433,1.0
2937.49,219.0400772954,2,0,2049.9285277791,2,700396.0104763436,1.0
2949.55,243.77132116777042,2,0,2042.6915683096477,0,743087.5787859913,1.0
2915.4,383.6026538535364,0,0,0.0,1,743087.5787859913,1.0
2921.71,308.5022146335034,1,0,1025.8531774488881,0,768940.7562348793,1.0
2980.23,350.6400842801495,0,0,0.0,0,768940.7562348793,1.0
2982.03,352.8199953460572,0,0,0.0,0,768940.7562348793,1.0
