WETH_price,gas_price_gwei,num_new_barks,num_sales_taken,incentive_amount,num_unsafe_vaults,auction_debt,avg_time_to_liquidation
1232.55,98.38025429406203,0,0,0.0,0,0.0,
1237.5,98.87498119001674,0,0,0.0,0,0.0,
1231.56,106.6463660257039,0,0,0.0,0,0.0,
1230.08,128.19820883599826,0,0,0.0,1,0.0,
1215.18,113.93696015066676,1,0,1012.4238188268349,1,91242.38188268349,2.5925925925925926
1217.42,110.1137222186734,1,0,177.01761095686788,0,98944.14297837028,2.5357142857142856
1223.88,102.7016868722877,0,0,0.0,0,98944.14297837028,2.5357142857142856
1218.08,93.8895122078384,0,0,0.0,0,98944.14297837028,2.5357142857142856
1223.82,98.05660071769528,0,0,0.0,0,98944.14297837028,2.5357142857142856
1217.37,95.19086957610631,0,0,0.0,0,98944.14297837028,2.5357142857142856
1190.42,97.39168906414197,0,0,0.0,2,98944.14297837028,2.5357142857142856
1208.06,108.5196008578175,2,0,422.64885277120106,0,121209.02825549038,2.433333333333333
1180.87,114.1500950016245,0,0,0.0,1,121209.02825549038,2.433333333333333
1173.8,129.1337279099083,1,0,988.8396897847304,0,210092.99723396343,2.3870967741935485
1179.15,129.2507715759443,0,0,0.0,0,210092.99723396343,2.3870967741935485
1201.22,115.29735303632022,0,0,0.0,0,210092.99723396343,2.3870967741935485
1194.62,166.5072986457788,0,0,0.0,0,210092.99723396343,2.3870967741935485
1185.28,162.65978583002263,0,0,0.0,0,210092.99723396343,2.3870967741935485
1172.11,142.04400424036047,0,0,0.0,0,210092.99723396343,2.3870967741935485
1120.33,226.4386524363857,0,0,0.0,8,210092.99723396343,2.3870967741935485
1108.38,335.42570592398005,8,0,2323.1980010907578,0,362412.7973430392,2.1025641025641026
1038.41,500.3137912023981,0,0,0.0,5,362412.7973430392,2.1025641025641026
1096.25,584.6443815773931,3,1,2046.2775975935901,0,521316.1678144182,2.0238095238095237
1101.49,534.0903605856488,0,0,0.0,0,521316.1678144182,2.0238095238095237
1124.4,472.4158068846178,0,2,0.0,0,498022.70897222235,2.0238095238095237
1114.11,403.4461721223061,0,0,0.0,0,498022.70897222235,2.0238095238095237
1068.27,425.8758373605988,0,0,0.0,1,498022.70897222235,2.0238095238095237
1104.13,448.6586018089663,1,0,176.69304366879354,0,505692.01333910174,2.0
1107.54,432.73332816467564,0,0,0.0,0,505692.01333910174,2.0
1112.85,336.2422488122084,0,0,0.0,0,505692.01333910174,2.0
1123.07,311.5423388205211,0,0,0.0,0,505692.01333910174,2.0
1122.75,252.3372207378014,0,0,0.0,0,505692.01333910174,2.0
1119.72,274.8431311534866,0,0,0.0,0,505692.01333910174,2.0
1109.26,226.4747664323065,0,0,0.0,0,505692.01333910174,2.0
1088.63,191.41252907798753,0,0,0.0,0,505692.01333910174,2.0
1092.25,177.4910430668871,0,0,0.0,0,505692.01333910174,2.0
1073.9,159.76986676024458,0,0,0.0,0,505692.01333910174,2.0
1068.36,202.80010017587674,0,0,0.0,0,505692.01333910174,2.0
1081.21,173.25819888634348,0,0,0.0,0,505692.01333910174,2.0
1070.58,197.89709040868865,0,0,0.0,0,505692.01333910174,2.0
1010.0,257.401099100016,0,0,0.0,2,505692.01333910174,2.0
1017.9,331.16090915767666,2,0,350.1777763874197,0,520709.7909778437,1.9555555555555555
1035.4,313.15559935677015,0,0,0.0,0,520709.7909778437,1.9555555555555555
1021.15,292.60470961177026,0,0,0.0,0,520709.7909778437,1.9555555555555555
1049.71,306.8810249334699,0,0,0.0,0,520709.7909778437,1.9555555555555555
1069.79,298.8250304419764,0,0,0.0,0,520709.7909778437,1.9555555555555555
1069.93,245.842096643882,0,0,0.0,0,520709.7909778437,1.9555555555555555
1071.07,181.4267644271275,0,0,0.0,0,520709.7909778437,1.9555555555555555
1088.99,196.76590269450836,0,0,0.0,0,520709.7909778437,1.9555555555555555
1098.82,210.02129901724575,0,0,0.0,0,520709.7909778437,1.9555555555555555
1094.01,206.9346477536538,0,0,0.0,0,520709.7909778437,1.9555555555555555
1102.21,177.35694660076138,0,0,0.0,0,520709.7909778437,1.9555555555555555
1119.62,199.30760722852386,0,0,0.0,0,520709.7909778437,1.9555555555555555
1107.04,154.1777860904376,0,0,0.0,0,520709.7909778437,1.9555555555555555
1088.83,172.76252154081246,0,0,0.0,0,520709.7909778437,1.9555555555555555
1098.49,159.80961670700256,0,0,0.0,0,520709.7909778437,1.9555555555555555
1108.7,152.88390359048316,0,0,0.0,0,520709.7909778437,1.9555555555555555
1101.24,144.63025391168907,0,0,0.0,0,520709.7909778437,1.9555555555555555
1105.94,128.5606872906784,0,0,0.0,0,520709.7909778437,1.9555555555555555
1133.33,123.50738759024759,0,0,0.0,0,520709.7909778437,1.9555555555555555
1141.42,133.98237705460303,0,0,0.0,0,520709.7909778437,1.9555555555555555
1135.02,129.54093496771884,0,0,0.0,0,520709.7909778437,1.9555555555555555
1120.47,155.7446265510139,0,0,0.0,0,520709.7909778437,1.9555555555555555
1115.06,159.19428189545008,0,0,0.0,0,520709.7909778437,1.9555555555555555
1121.32,149.74097121875528,0,0,0.0,0,520709.7909778437,1.9555555555555555
1111.21,127.60207859019629,0,0,0.0,0,520709.7909778437,1.9555555555555555
1100.64,141.99043694204138,0,0,0.0,0,520709.7909778437,1.9555555555555555
1081.41,122.35817057433292,0,0,0.0,0,520709.7909778437,1.9555555555555555
1086.02,139.0997808055093,0,0,0.0,0,520709.7909778437,1.9555555555555555
1095.6,122.80086762649641,0,0,0.0,0,520709.7909778437,1.9555555555555555
1084.11,96.11990786141777,0,0,0.0,0,520709.7909778437,1.9555555555555555
1065.41,99.39270330000848,0,0,0.0,0,520709.7909778437,1.9555555555555555
1054.83,115.9588764772206,0,0,0.0,0,520709.7909778437,1.9555555555555555
1066.03,142.14993036298816,0,0,0.0,0,520709.7909778437,1.9555555555555555
1096.69,144.86288009787228,0,0,0.0,0,520709.7909778437,1.9555555555555555
1092.49,163.6458177493926,0,0,0.0,0,520709.7909778437,1.9555555555555555
1087.52,136.8493223695812,0,0,0.0,0,520709.7909778437,1.9555555555555555
1071.04,139.87219720675796,0,0,0.0,0,520709.7909778437,1.9555555555555555
1074.43,128.44704891812464,0,0,0.0,0,520709.7909778437,1.9555555555555555
1055.82,103.39210200145375,0,0,0.0,0,520709.7909778437,1.9555555555555555
1048.26,146.03201787741997,0,0,0.0,0,520709.7909778437,1.9555555555555555
1039.64,160.4495122921109,0,0,0.0,0,520709.7909778437,1.9555555555555555
1057.75,156.61674980292088,0,0,0.0,0,520709.7909778437,1.9555555555555555
1020.82,146.56379501852695,0,0,0.0,0,520709.7909778437,1.9555555555555555
983.41,223.30333325944935,0,0,0.0,3,520709.7909778437,1.9555555555555555
985.58,453.2145213189893,2,0,1026.2474155553348,0,603334.5325333772,1.9148936170212767
